products_id	products_quantity	products_model	products_price	products_date_added	products_last_modified	products_weight	products_status	products_tax_class_id	manufacturers_id	products_ordered
46	-1		560	2009-11-09 10:14:00	2015-02-04 02:28:00	5	1	2	11	1
264	4	BAG4450	420	2010-12-09 15:43:00	2014-01-07 15:44:00	0	1	2	11	0
47	-1		350	2009-11-09 10:14:00	2010-11-10 11:13:00	0	0	2	11	0
266	0	BAG6000	395	2010-12-09 18:34:00	2013-12-16 15:04:00	0	1	2	11	0
317	2	PR120/37	620	2014-01-24 22:27:00	2014-09-21 08:03:00	3.09	1	2	12	-1
43	-5	BAG9100	640	2009-11-09 10:11:00	2013-12-03 17:29:00	6	1	2	11	2
254	0	BR104	650	2010-12-07 21:14:00	2013-11-30 12:46:00	0	1	2	0	0
45	2	BAG8100	350	2009-11-09 10:13:00	2014-12-23 07:52:00	2	1	2	11	1
42	4	BAG4730	350	2009-11-09 10:09:00	2014-05-06 08:26:00	4	1	2	11	2
48	-1	BAG2000	395	2009-11-09 10:15:00	2014-02-12 15:52:00	0	1	2	11	1
49	1	BAG4350	375	2009-11-09 10:16:00	2014-01-06 22:33:00	5	1	2	11	-1
50	0	BAG135	650	2009-11-09 10:16:00	2014-03-19 15:14:00	0	0	2	11	1
51	1	BAG249	890	2009-11-09 10:17:00	2015-05-15 08:44:00	0	1	2	11	1
52	0	BAG3100	360	2009-11-09 10:18:00	2010-11-29 14:15:00	0	1	2	11	0
53	-2	BAG5100	690	2009-11-09 10:18:00	2013-11-30 13:32:00	0	1	2	11	2
54	0	BAG3900	390	2009-11-09 10:19:00	2010-11-17 13:42:00	0	1	2	11	0
55	1	BAG6830	250	2009-11-09 10:19:00	2014-12-08 19:20:00	0	1	2	11	4
56	0		560	2009-11-09 10:21:00	2010-11-17 18:23:00	0	1	2	11	0
156	0	ITT80+ITPP08	1520	2009-12-21 12:51:00	2010-11-12 14:22:00	0	1	2	16	0
58	-2	BAG120	265	2009-11-09 10:22:00	2013-12-04 14:08:00	0	1	2	11	2
236	0		0	2010-11-12 10:07:00	2010-11-12 17:37:00	0	0	2	21	0
60	0	BAG125	585	2009-11-09 10:23:00	2014-03-19 15:16:00	0	0	2	11	0
61	-1	BAG3750	390	2009-11-09 10:23:00	2014-01-11 08:15:00	0	1	2	11	2
160	0	ITG1037	195	2009-12-21 20:19:00	2010-11-12 10:45:00	0	1	2	16	0
206	0	ITB530R	260	2009-12-29 11:34:00	2010-11-12 18:00:00	0	1	2	16	0
207	0	ITB511R	260	2009-12-29 12:20:00	2010-11-12 17:49:00	0	1	2	16	0
64	0		0	2009-11-09 10:25:00	2010-11-10 07:55:00	0	0	2	0	0
