products_id,categories_id
42,24
43,34
43,37
45,26
46,27
47,21
48,21
48,37
48,58
48,66
48,69
49,23
49,26
50,25
51,24
51,25
51,27
51,64
52,21
53,21
53,24
53,66
54,26
55,23
56,25
58,26
60,25
61,26
64,25
65,24
66,26
70,24
70,27
70,61
71,25
73,24
73,31
73,59
73,61
74,21
75,21
76,21
77,23
77,26
78,23
80,25
81,24
81,59
82,27
82,37
83,21
83,58
84,21
84,26
85,24
85,27
85,59
85,61
85,63
85,68
86,21
87,26
88,21
88,26
89,26
90,34
91,26
109,24
118,36
118,39
119,36
119,39
122,36
122,42
129,36
129,39
132,36
132,39
134,36
134,39
135,36
135,39
136,36
136,39
137,36
137,39
137,59
137,61
141,36
141,42
144,36
144,42
148,25
150,36
150,42
151,36
151,41
153,36
153,42
155,36
155,42
156,36
156,42
157,36
157,44
159,36
159,40
160,36
160,40
161,36
161,40
162,36
162,42
162,43
165,36
166,36
166,43
167,36
168,36
168,43
169,36
169,43
178,24
179,24
180,24
181,21
183,21
184,24
185,21
186,24
187,24
188,57
189,57
190,36
190,40
192,31
192,36
192,59
192,61
192,67
194,21
195,21
196,21
196,69
198,21
199,21
200,21
201,21
202,21
203,37
204,21
205,21
206,36
206,40
207,36
207,40
208,36
208,40
209,36
209,40
210,36
210,40
211,36
211,40
212,36
212,40
213,36
213,40
214,37
216,21
217,27
218,27
219,24
219,63
220,21
220,58
221,24
221,63
222,21
222,58
223,21
224,21
224,24
224,66
225,24
226,24
227,24
228,21
229,21
230,21
231,21
232,21
233,37
233,38
234,38
235,38
236,38
237,38
238,38
239,38
240,24
241,24
242,24
243,24
244,24
245,24
246,24
247,24
248,24
249,24
250,24
251,24
252,36
252,39
253,24
253,64
254,21
255,21
256,25
257,26
257,37
257,66
257,69
258,24
258,27
259,37
260,24
261,24
263,24
264,24
264,26
266,23
267,37
268,23
268,61
270,25
271,21
271,61
271,66
272,36
273,21
274,21
275,37
277,21
278,21
280,57
282,57
283,42
284,57
285,57
286,39
287,57
288,57
289,57
290,57
291,36
292,23
293,23
293,61
293,66
295,37
296,37
298,25
299,21
300,25
301,37
302,37
304,37
305,57
306,21
310,24
310,63
311,24
311,27
312,27
312,61
314,34
315,24
316,24
316,37
316,61
317,24
318,66
319,26
320,26
320,66
321,24
322,66
323,34
324,57
325,24
326,27
327,23
328,21
329,24
330,70
331,66
332,71
333,71
334,24
335,71
336,71
337,71
338,71
339,24
