orders_products_id,orders_id,products_id,products_quantity,
61,29,70,1,
25,15,70,1,
26,16,50,1,
27,16,70,1,
28,16,90,1,
29,16,43,1,
60,29,81,1,
56,27,70,1,
57,27,78,1,
34,19,81,1,
35,19,90,1,
36,19,44,1,
37,19,70,1,
38,19,73,1,
59,28,81,1,
17,10,67,1,
18,10,91,1,
19,11,86,1,
20,12,56,1,
21,12,55,1,
22,13,79,1,
58,27,51,1,
63,31,86,1,
64,32,81,1,
65,32,70,1,
66,33,81,1,
67,33,87,1,
68,33,70,1,
69,34,70,1,
70,34,78,1,
71,34,51,1,
137,70,225,1,
134,67,77,1,
125,59,58,1,
166,97,184,1,
136,69,46,1,
124,58,86,1,
164,95,219,1,
131,64,86,1,
138,71,181,1,
139,72,61,1,
141,74,70,1,
144,77,55,1,
145,78,55,1,
146,79,46,1,
147,80,73,1,
148,80,64,1,
149,81,67,1,
150,82,49,1,
167,98,187,1,
154,86,186,1,
155,87,50,1,
156,88,77,1,
168,99,186,1,
651,540,268,1,
634,526,88,1,
169,100,89,1,
170,101,85,1,
171,102,73,1,
172,103,204,1,
173,104,49,1,
174,105,58,1,
175,106,83,1,
176,107,82,1,
178,109,88,1,
179,110,49,1,
180,111,184,1,
181,111,49,1,
569,469,70,1,
184,113,89,1,
185,114,85,1,
186,115,65,1,
642,533,183,1,
189,117,48,1,
620,515,50,1,
194,122,85,1,
195,123,85,1,
196,124,179,1,
197,125,73,1,
198,126,222,1,
199,127,184,1,
200,128,81,1,
201,129,305,1,
202,130,90,1,
203,131,285,1,
205,133,85,1,
206,134,45,1,
207,135,189,1,
208,136,53,1,
210,138,293,1,
211,139,85,1,
212,140,78,1,
641,532,85,1,
215,143,51,1,
650,540,55,1,
218,146,229,1,
219,147,299,1,
223,151,75,1,
224,151,200,1,
225,152,201,1,
226,153,274,1,
228,155,268,1,
229,156,89,1,
230,157,85,1,
232,159,85,1,
233,160,66,1,
234,161,65,1,
235,162,86,1,
236,162,66,1,
237,163,258,1,
238,164,244,1,
239,165,55,1,
240,166,243,1,
241,167,49,1,
242,167,83,1,
637,529,60,1,
244,169,65,1,
245,170,80,1,
246,171,231,1,
247,172,81,1,
248,173,204,1,
249,174,65,1,
250,175,88,1,
251,176,243,1,
252,177,85,1,
253,178,66,1,
254,179,85,1,
255,180,89,1,
713,594,184,1,
259,184,89,1,
260,185,264,1,
261,186,293,1,
262,186,240,1,
263,187,73,1,
264,188,219,1,
265,189,89,1,
266,190,53,1,
267,191,58,1,
268,192,184,1,
269,193,187,1,
270,194,85,1,
271,195,90,1,
274,198,219,1,
275,199,268,1,
276,200,85,1,
277,200,281,1,
278,200,291,1,
282,204,86,1,
286,208,85,1,
288,210,281,99,
290,212,281,99,
291,213,48,1,
662,548,310,1,
663,548,186,1,
680,564,83,1,
295,216,85,1,
296,217,187,1,
298,219,273,1,
299,220,258,1,
300,221,73,1,
301,222,205,1,
691,572,83,1,
303,224,80,1,
306,227,271,1,
307,228,81,1,
308,229,85,1,
309,230,42,1,
310,231,85,1,
311,232,66,1,
312,233,85,1,
313,234,85,1,
315,236,232,1,
316,237,65,1,
317,238,187,1,
318,239,86,1,
319,240,221,1,
320,241,42,1,
321,242,85,1,
322,243,89,1,
323,244,61,1,
324,245,51,1,
325,246,77,1,
326,247,85,1,
327,248,268,1,
328,249,222,1,
329,249,223,1,
330,249,223,1,
331,249,299,1,
332,249,271,1,
333,249,230,1,
334,249,230,1,
335,249,274,1,
336,249,199,1,
337,249,75,1,
338,249,273,1,
339,249,224,1,
340,249,224,1,
341,249,224,1,
342,250,82,1,
